SimTime,pmbist_output_final_serial_serial_1149_patt_MBIST_ATE_PROD_1_SERV_CLKI125M_P.shema_i3_sw_top_inst.JTAG_TRST_N,pmbist_output_final_serial_serial_1149_patt_MBIST_ATE_PROD_1_SERV_CLKI125M_P.shema_i3_sw_top_inst.JTAG_TCK,pmbist_output_final_serial_serial_1149_patt_MBIST_ATE_PROD_1_SERV_CLKI125M_P.shema_i3_sw_top_inst.JTAG_TMS,pmbist_output_final_serial_serial_1149_patt_MBIST_ATE_PROD_1_SERV_CLKI125M_P.shema_i3_sw_top_inst.JTAG_TDI,pmbist_output_final_serial_serial_1149_patt_MBIST_ATE_PROD_1_SERV_CLKI125M_P.shema_i3_sw_top_inst.JTAG_TDO,pmbist_output_final_serial_serial_1149_patt_MBIST_ATE_PROD_1_SERV_CLKI125M_P.shema_i3_sw_top_inst.SERV_RSTI_N
0,x,x,1,x,z,0
50,x,0,1,x,z,0
100,0,0,1,x,z,0
250,0,1,1,x,z,0
300,0,0,1,x,z,0
350,0,1,1,x,z,0
400,0,0,1,x,z,0
450,0,1,1,x,z,0
500,0,0,1,x,z,0
550,0,1,1,x,z,0
600,0,0,1,x,z,0
650,0,1,1,x,z,0
700,0,0,1,x,z,0
750,0,1,1,x,z,0
800,0,0,1,x,z,0
850,0,1,1,x,z,0
900,0,0,1,x,z,0
950,0,1,1,x,z,0
1000,0,0,1,x,z,0
1050,0,1,1,x,z,0
1100,0,0,1,x,z,0
1150,0,1,1,x,z,0
1200,1,0,1,x,z,0
1350,1,1,1,x,z,0
1400,1,0,1,x,z,0
1450,1,1,1,x,z,0
1500,1,0,1,x,z,0
1550,1,1,1,x,z,0
1600,1,0,1,x,z,0
1650,1,1,1,x,z,0
1700,1,0,1,x,z,0
1750,1,1,1,x,z,0
1800,1,0,1,x,z,0
1850,1,1,1,x,z,0
1900,1,0,1,x,z,0
1950,1,1,1,x,z,0
2000,1,0,1,x,z,0
2050,1,1,1,x,z,0
2100,1,0,1,x,z,0
2150,1,1,1,x,z,0
2200,1,0,1,x,z,0
2250,1,1,1,x,z,0
2300,1,0,1,x,z,0
2350,1,1,1,x,z,0
2400,1,0,1,x,z,0
2450,1,1,1,x,z,0
2500,1,0,1,x,z,0
2550,1,1,1,x,z,0
2600,1,0,1,x,z,0
2650,1,1,1,x,z,0
2700,1,0,1,x,z,0
2750,1,1,1,x,z,0
2800,1,0,1,x,z,0
2850,1,1,1,x,z,0
2900,1,0,1,x,z,0
2950,1,1,1,x,z,0
3000,1,0,1,x,z,0
3050,1,1,1,x,z,0
3100,1,0,1,x,z,0
3150,1,1,1,x,z,0
3200,1,0,1,x,z,0
3250,1,1,1,x,z,0
3300,1,0,1,x,z,0
3350,1,1,1,x,z,0
3400,1,0,1,x,z,0
3450,1,1,1,x,z,0
3500,1,0,1,x,z,0
3550,1,1,1,x,z,0
3600,1,0,1,x,z,0
3650,1,1,1,x,z,0
3700,1,0,1,x,z,0
3750,1,1,1,x,z,0
3800,1,0,1,x,z,0
3850,1,1,1,x,z,0
3900,1,0,1,x,z,0
3950,1,1,1,x,z,0
4000,1,0,1,x,z,0
4050,1,1,1,x,z,0
4100,1,0,1,x,z,0
4150,1,1,1,x,z,0
4200,1,0,1,x,z,0
4250,1,1,1,x,z,0
4300,1,0,1,x,z,0
4350,1,1,1,x,z,0
4400,1,0,1,x,z,0
4450,1,1,1,x,z,0
4500,1,0,1,x,z,0
4550,1,1,1,x,z,0
4600,1,0,1,x,z,0
4650,1,1,1,x,z,0
4700,1,0,1,x,z,0
4750,1,1,1,x,z,0
4800,1,0,1,x,z,0
4850,1,1,1,x,z,0
4900,1,0,1,x,z,0
4950,1,1,1,x,z,0
5000,1,0,1,x,z,0
5050,1,1,1,x,z,0
5100,1,0,1,x,z,0
5150,1,1,1,x,z,0
5200,1,0,1,x,z,0
5250,1,1,1,x,z,0
5300,1,0,1,x,z,0
5350,1,1,1,x,z,0
5400,1,0,1,x,z,0
5450,1,1,1,x,z,0
5500,1,0,1,x,z,0
5550,1,1,1,x,z,0
5600,1,0,1,x,z,0
